date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
11/07/2014 12:39:31	new sample	BR	101	1.0	       1.12e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:39:31	new sample	FL	105	1.0	       1.18e+006	  	  	  7.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:39:31	new sample	BR-FL	-4	1.0	      -5.33e+004	BR-FL/BR	 -4.7%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:40:58	new sample	BR	111	1.0	       1.24e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:40:58	new sample	FL	103	1.0	       1.15e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:40:58	new sample	BR-FL	8	1.0	       8.60e+004	BR-FL/BR	  6.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:42:26	new sample	BR	103	1.0	       1.16e+006	  	  	  7.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:42:26	new sample	FL	103	1.0	       1.17e+006	  	  	  8.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:42:26	new sample	BR-FL	0	1.0	      -1.18e+004	BR-FL/BR	 -1.0%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:43:49	new sample	BR	138	1.0	       1.53e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:43:49	new sample	FL	105	1.0	       1.18e+006	  	  	  7.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:43:49	new sample	BR-FL	33	1.0	       3.59e+005	BR-FL/BR	 23.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:45:08	new sample	BR	60	1.0	       6.65e+005	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:45:08	new sample	FL	100	1.0	       1.11e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:45:08	new sample	BR-FL	-40	1.0	      -4.47e+005	BR-FL/BR	-67.2%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:46:50	new sample	BR	146	1.0	       1.62e+006	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:46:50	new sample	FL	115	1.0	       1.28e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:46:50	new sample	BR-FL	31	1.0	       3.37e+005	BR-FL/BR	 20.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:48:20	new sample	BR	183	1.0	       2.03e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:48:20	new sample	FL	126	1.0	       1.40e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:48:20	new sample	BR-FL	57	1.0	       6.29e+005	BR-FL/BR	 31.0%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:50:09	new sample	BR	93	1.0	       1.03e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:50:09	new sample	FL	91	1.0	       1.01e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:50:09	new sample	BR-FL	2	1.0	       1.75e+004	BR-FL/BR	  1.7%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:51:47	new sample	BR	92	1.0	       1.02e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:51:47	new sample	FL	88	1.0	       9.77e+005	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:51:47	new sample	BR-FL	4	1.0	       4.52e+004	BR-FL/BR	  4.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:53:16	new sample	BR	100	1.0	       1.11e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:53:16	new sample	FL	76	1.0	       8.56e+005	  	  	  7.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:53:16	new sample	BR-FL	24	1.0	       2.58e+005	BR-FL/BR	 23.2%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:54:43	new sample	BR	174	1.0	       1.93e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:54:43	new sample	FL	125	1.0	       1.39e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:54:43	new sample	BR-FL	49	1.0	       5.39e+005	BR-FL/BR	 27.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:56:12	new sample	BR	175	1.0	       1.95e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:56:12	new sample	FL	135	1.0	       1.50e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 12:56:12	new sample	BR-FL	40	1.0	       4.45e+005	BR-FL/BR	 22.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 12:57:37	new sample	BR	164	1.0	       1.82e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
