id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
P144,Tuckasegee,Tuck 1,L. fasciola,2.6,,27.6,16.8,9.2,4/2/13,0,0
P139,Tuckasegee,Tuck 1,L. fasciola,2.8,,27,16.2,10.7,4/2/13,0,0
P149,Tuckasegee,Tuck 1,L. fasciola,1.8,,24,14.5,8.7,4/2/13,0,0
P147,Tuckasegee,Tuck 1,L. fasciola,2.9,,27.5,17.5,10,4/2/13,0,0
P108,Tuckasegee,Tuck 1,L. fasciola,6.6,,34.4,21.7,14.5,4/2/13,0,0
P104,Tuckasegee,Tuck 1,L. fasciola,4.8,,32.8,20.8,12.8,4/2/13,0,0
P142,Tuckasegee,Tuck 1,L. fasciola,3.1,,27.7,17,11,4/2/13,0,0
P156,Tuckasegee,Tuck 2,L. fasciola,4.1,,31.1,19,11.6,4/2/13,0,0
P102,Tuckasegee,Tuck 2,L. fasciola,4.2,,30.2,18.5,12.6,4/2/13,0,0
P111,Tuckasegee,Tuck 2,L. fasciola,5.1,,33.1,20.5,13.3,4/2/13,0,0
P140,Tuckasegee,Tuck 2,L. fasciola,2.8,,27.1,16.8,10.3,4/2/13,0,0
P113,Tuckasegee,Tuck 2,L. fasciola,5.7,,33.8,21.1,14.1,4/2/13,0,0
P137,Tuckasegee,Tuck 2,L. fasciola,3.2,,29.2,17.5,10.3,4/2/13,0,0
P100,Tuckasegee,Tuck 2,L. fasciola,3,,27.6,17.5,10.6,4/2/13,0,0
P103,Tuckasegee,Tuck 2,L. fasciola,4.5,,32,18.5,12.5,4/2/13,0,0
P122,Tuckasegee,Tuck 2,L. fasciola,4.5,,30.7,19.5,12.7,4/2/13,0,0
P155,Tuckasegee,Tuck 2,L. fasciola,4.5,,32.1,19.4,11.5,4/2/13,0,0
P138,Tuckasegee,Tuck 2,L. fasciola,4.4,,31.9,19.3,12,4/2/13,0,0
P126,Tuckasegee,Tuck 2,L. fasciola,3.7,,29.5,18,11.4,4/2/13,0,0
P098,Tuckasegee,Tuck 3,L. fasciola,3.9,,30.2,18.7,11.2,4/2/13,0,0
P112,Tuckasegee,Tuck 3,L. fasciola,5.2,,33,20.5,13.3,4/2/13,0,0
P133,Tuckasegee,Tuck 3,L. fasciola,2.9,,27.3,16.4,10.5,4/2/13,0,0
P107,Tuckasegee,Tuck 3,L. fasciola,4.1,,31,18.6,12,4/2/13,0,0
P135,Tuckasegee,Tuck 3,L. fasciola,5.5,,32.7,20.3,13.6,4/2/13,0,0
P164,Tuckasegee,Tuck 3,L. fasciola,2.4,,27,16.7,9,4/2/13,0,0
P129,Tuckasegee,Tuck 3,L. fasciola,3.7,,29,17.6,12,4/2/13,0,0
P123,Tuckasegee,Tuck 3,L. fasciola,5.7,,32.1,20.7,14.2,4/2/13,0,0
P096,Tuckasegee,Tuck 3,L. fasciola,3.4,,27.9,18,11.6,4/2/13,0,0
P152,Tuckasegee,Tuck 3,L. fasciola,4,,30,18.8,12,4/2/13,0,0
P134,Tuckasegee,Tuck 3,L. fasciola,3.1,,28.8,17.7,10.7,4/2/13,0,0
P145,Tuckasegee,Tuck 3,L. fasciola,2.9,,27.2,17.1,10.7,4/2/13,0,0
P118,Little Tennessee,LiTN 1,L. fasciola,3.3,,29.2,17.6,10.5,4/2/13,0,0
P161,Little Tennessee,LiTN 1,L. fasciola,4.8,,29.4,19.7,13.5,4/2/13,0,0
P114,Little Tennessee,LiTN 1,L. fasciola,2.4,,26.8,16,10,4/2/13,0,0
P165,Little Tennessee,LiTN 1,L. fasciola,3.8,,29.6,18.3,11.6,4/2/13,0,0
P159,Little Tennessee,LiTN 1,L. fasciola,3.6,,28.8,18.1,11.8,4/2/13,0,0
P143,Little Tennessee,LiTN 1,L. fasciola,2.5,,26.2,15.3,10,4/2/13,0,0
P115,Little Tennessee,LiTN 1,L. fasciola,4,,31,18.5,11.5,4/2/13,0,0
P128,Little Tennessee,LiTN 1,L. fasciola,4.4,,31,20.2,12,4/2/13,0,0
P109,Little Tennessee,LiTN 1,L. fasciola,2.7,,27.1,16.5,10.5,4/2/13,0,0
P090,Little Tennessee,LiTN 1,L. fasciola,3,,27.9,17.3,10.6,4/2/13,0,0
P093,Little Tennessee,LiTN 1,L. fasciola,3.8,,29.5,18.1,12,4/2/13,0,0
P091,Little Tennessee,LiTN 1,L. fasciola,3.9,,29,18.1,11.8,4/2/13,0,0
P154,Little Tennessee,LiTN 2,L. fasciola,3.4,,29,17.9,11,4/2/13,0,0
P094,Little Tennessee,LiTN 2,L. fasciola,3.5,,28.3,17.7,11.3,4/2/13,0,0
P117,Little Tennessee,LiTN 2,L. fasciola,3.3,,28,17.2,11.1,4/2/13,0,0
P131,Little Tennessee,LiTN 2,L. fasciola,5.2,,32.6,20.8,13.1,4/2/13,0,0
P168,Little Tennessee,LiTN 2,L. fasciola,1.6,,23.3,14,8.6,4/2/13,0,0
P148,Little Tennessee,LiTN 2,L. fasciola,1.9,,24.7,15,9,4/2/13,0,0
P169,Little Tennessee,LiTN 2,L. fasciola,2.1,,25.7,16,9.1,4/2/13,0,0
P167,Little Tennessee,LiTN 2,L. fasciola,2.5,,25.4,15,10,4/2/13,0,0
P095,Little Tennessee,LiTN 2,L. fasciola,3.3,,31.1,10.9,18.9,4/2/13,0,0
P166,Little Tennessee,LiTN 2,L. fasciola,2.9,,27.5,16.9,10.7,4/2/13,0,0
P105,Little Tennessee,LiTN 2,L. fasciola,4.2,,30.7,18.8,12.2,4/2/13,0,0
P153,Little Tennessee,LiTN 2,L. fasciola,3,,28.2,17,10.3,4/2/13,0,0
P127,Little Tennessee,LiTN 3,L. fasciola,4.1,,32.3,19.5,11.5,4/2/13,0,0
P158,Little Tennessee,LiTN 3,L. fasciola,3.2,,27.9,17.4,11.1,4/2/13,0,0
P089,Little Tennessee,LiTN 3,L. fasciola,3.1,,28.5,18.1,11,4/2/13,0,0
P163,Little Tennessee,LiTN 3,L. fasciola,3.4,,18.4,18,11,4/2/13,0,0
P121,Little Tennessee,LiTN 3,L. fasciola,5,,32.6,19.4,13.4,4/2/13,0,0
P116,Little Tennessee,LiTN 3,L. fasciola,6.9,,34.8,21.9,15.4,4/2/13,0,0
P092,Little Tennessee,LiTN 3,L. fasciola,5,,32.4,20.2,12.8,4/2/13,0,0
P125,Little Tennessee,LiTN 3,L. fasciola,4.4,,31,19.8,12.3,4/2/13,0,0
P124,Little Tennessee,LiTN 3,L. fasciola,4.3,,31.4,19.6,11.8,4/2/13,0,0
P110,Little Tennessee,LiTN 3,L. fasciola,7.1,,36.7,22.8,14.7,4/2/13,0,0
P099,Little Tennessee,LiTN 3,L. fasciola,3,,26.8,15.9,11.1,4/2/13,0,0
P119,Little Tennessee,LiTN 3,L. fasciola,4.2,,30.1,18.6,12,4/2/13,0,0
P132,Tuckasegee,Tuck 1,L. fasciola,5.5,1.6,34,21,13,9/19/13,0,1
P120,Tuckasegee,Tuck 1,L. fasciola,7.6,1.5,36.4,23,16,5/6/14,0,1
C966,Tuckasegee,Tuck 1,L. fasciola,6.4,1.4,34.9,22,14.8,5/6/14,0,1
P097,Tuckasegee,Tuck 1,L. fasciola,6.1,1.8,33.1,22,13.3,5/6/14,0,1
